Method,Category,Jurisdiction/Program,Year/Start,Effectiveness Metric,Effectiveness Value,Timeframe/Notes,Source URL
Deposit return system (DRS),Policy/Collection,Germany DRS,2003,Container return rate,≈98%,Nationwide Pfand system for PET/aluminum.,https://www.reloopplatform.org/global-deposit-book-2024/
Deposit return system (DRS),Policy/Collection,Norway DRS (Infinitum),1999,Container return rate,≈95–97%,PET bottles and cans; high return.,https://www.infinitum.no/en/
Deposit return system (DRS),Policy/Collection,Lithuania DRS,2016,PET return rate (Year 2),≈92%,Rapid increase after launch.,https://www.reloopplatform.org/wp-content/uploads/2021/06/Lithuania-Deposit-Return-System-Results.pdf
Deposit return system (DRS),Policy/Collection,Netherlands DRS,2021,Plastic bottle return rate,≈95%,Small bottle deposit expanded in 2021.,https://statiegeldnederland.nl/english/
Deposit return system (DRS),Policy/Collection,Denmark DRS,2002,Overall return rate,≈92%,Dansk Retursystem annual results.,https://www.danskretursystem.dk/en/about-us/results/
Deposit return system (DRS),Policy/Collection,Sweden DRS,1984,Overall return rate,≈85–88%,Returpack Pantamera.,https://www.pantamera.nu/om-oss/
Deposit return system (DRS),Policy/Collection,Finland DRS,1996,Overall return rate,≈92–95%,PALPA system results.,https://www.palpa.fi/en/
Deposit return system (DRS),Policy/Collection,Estonia DRS,2005,Overall return rate,≈89–90%,Eesti Pandipakend.,https://www.eestipandipakend.ee/en
Deposit return system (DRS),Policy/Collection,Iceland DRS,1989,Overall return rate,≈87–90%,Endurvinnslan results.,https://www.endurvinnslan.is/english/
Deposit return system (DRS),Policy/Collection,Croatia DRS,2006,PET return rate,≈84–90%,Various years; high returns.,https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ZA%C5%A0TITU%20OKOLI%C5%A0A/OIE/EEA%20drzave/Croatia%20DRS%20case%20studies.pdf
Deposit return system (DRS),Policy/Collection,Malta BCRS,2022,Return rate (2023),≈85%+,BCRS statistics.,https://bcrsmalta.mt/statistics/
Deposit return system (DRS),Policy/Collection,Slovakia DRS,2022,Return rate (2023),≈70–80%+,Early system results.,https://www.slovenskozatohlasystem.sk/en/
Deposit return system (DRS),Policy/Collection,Latvia DRS,2022,Return rate (2023),≈80%+,Depozīta punkts results.,https://www.depozitapunkts.lv/en/results/
Deposit return system (DRS),Policy/Collection,Oregon (USA) Bottle Bill,1972,Redemption rate,≈86% (post-2019),OBRC reports after 10¢ deposit.,https://www.obrc.com/
Deposit return system (DRS),Policy/Collection,Michigan (USA) Bottle Bill,1978,Redemption rate,≈75–90%,Historic range; one of highest in US.,"https://www.michigan.gov/treasury/0,4679,7-121-1751_2197_51598---,00.html"
Deposit return system (DRS),Policy/Collection,Maine (USA) Bottle Bill,1978,Redemption rate,≈84%,Maine DEP data.,https://www.maine.gov/dep/sustainability/recycling/bottle_bill.html
